file,type,reason_candidate,referenced_by_count,referenced_by_paths,replacement_or_owner,delete_confidence,required_followup_searches,notes
src/components/home/HomeBreedExplorer.astro,component,0 imports confirmed — has 1 hardcoded color violation,0,none,src/components/breeds/BreedFinderPanel.astro (likely),high,"rg ""HomeBreedExplorer"" src/ — confirmed 0 imports",No callers; safe to delete; also removes a hardcoded color
src/components/home/HomeHeroClean.astro,component,0 imports confirmed — 22 hardcoded color violations,0,none,src/components/home/HomeHeroDecision.astro,high,"rg ""HomeHeroClean"" src/ — confirmed 0 imports",No callers; safe to delete; also removes 22 hardcoded color violations
src/components/home/HomeLeadCapture.astro,component,0 imports confirmed across entire src/,0,none,none — lead capture not active on current homepage,high,"rg ""HomeLeadCapture"" src/ — confirmed 0 imports",No callers; safe to delete
src/components/affiliate/AmazonProductCard.astro,component,Old schema (AmazonProductRecord) — superseded by amazon/ pipeline. Currently imported only by affiliate/AmazonProductSlot,1,src/components/affiliate/AmazonProductSlot.astro,src/components/amazon/AmazonProductCard.astro,medium,"After migration: rg ""affiliate/AmazonProductCard"" src/ — must show 0 imports","Delete ONLY after affiliate/AmazonProductSlot.astro is migrated to use amazon/AmazonProductCard. Requires data schema migration. Do not delete before migration."
src/components/affiliate/AmazonProductSlot.astro,component,Old data pipeline (amazon-products.json) — superseded by amazon/AmazonProductSlot (product-index.json). Currently imported by AmazonProductRail and CategoryAmazonBlock,2,"src/components/affiliate/AmazonProductRail.astro, src/components/category/CategoryAmazonBlock.astro",src/components/amazon/AmazonProductSlot.astro,medium,"After migration: rg ""affiliate/AmazonProductSlot"" src/ — must show 0 imports","Delete ONLY after both callers are migrated. Verify product-index.json has equivalent data coverage. Data migration risk — test carefully."
src/components/primitives/Breadcrumb.astro,component,Uses crumbs prop API — canonical is ui/Breadcrumb with items prop. 4 callers to migrate,4,"src/pages/contact.astro, src/pages/brands/index.astro, src/pages/brands/[brand].astro, src/pages/categories/index.astro",src/components/ui/Breadcrumb.astro,medium,"After migration: rg ""primitives/Breadcrumb"" src/ — must show 0 imports","Delete after migrating 4 callers. The prop API changes: crumbs=[{label,href}] → items=[{label,href,current?}]. Update each caller."
src/components/ProductCard.astro,component,Root-level component — likely superseded by content/ProductCard.astro (275 lines vs 101 lines). Has 26 inline styles,unknown,pending-rg-check,src/components/content/ProductCard.astro,medium,"rg ""components/ProductCard"" src/ to identify all callers; diff root vs content/ to confirm content/ is superset","Must run import check first. Current known caller: affiliate/AmazonProductSlot (being migrated). If no other callers remain after migration: delete root copy."
src/pages/categories/beds.astro,route,Static override of /categories/beds — may be fully handled by dynamic [category].astro with config,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,"1) Confirm [category].astro renders /categories/beds. 2) Check category-taxonomy.json or data for beds config. 3) Verify all custom sections are config-driven. 4) Build both routes and compare output.","Route deletion requires extra caution. Do not delete until dynamic route output is verified identical. In Astro static file takes precedence over dynamic route."
src/pages/categories/dog-food.astro,route,Static override of /categories/dog-food — may be fully handled by dynamic route,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,"Same as beds.astro — confirm dynamic route output, config coverage, build check",Same caution as beds.astro
src/pages/categories/grooming.astro,route,Static override of /categories/grooming — may be fully handled by dynamic route,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,Same as beds.astro,Same caution
src/pages/categories/health.astro,route,Static override of /categories/health — may be fully handled by dynamic route,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,Same as beds.astro,Same caution
src/pages/categories/lifestyle.astro,route,Static override of /categories/lifestyle — may be fully handled by dynamic route,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,Same as beds.astro,Same caution
src/pages/categories/training.astro,route,Static override of /categories/training — 470 lines including 139-line style block,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,Same as beds.astro + extract style block first,Highest line count of static overrides; style block must be extracted before deletion
src/pages/categories/toys.astro,route,Static override of /categories/toys — may be fully handled by dynamic route,unknown,routing-check-needed,src/pages/categories/[category].astro + config,low,Same as beds.astro,Same caution
